report_date,location,zika_confirmed
2015-11-28,El_Salvador,0
2015-11-28,El_Salvador-Ahuachapan,0
2015-11-28,El_Salvador-Cabanas,0
2015-11-28,El_Salvador-Chalatenango,0
2015-11-28,El_Salvador-Cuscatlan,0
2015-11-28,El_Salvador-La_Libertad,0
2015-11-28,El_Salvador-La_Paz,0
2015-11-28,El_Salvador-La_Union,0
2015-11-28,El_Salvador-Morazan,0
2015-11-28,El_Salvador-San_Miguel,0
2015-11-28,El_Salvador-San_Salvador,0
2015-11-28,El_Salvador-San_Vicente,0
2015-11-28,El_Salvador-Santa_Ana,0
2015-11-28,El_Salvador-Sonsonate,0
2015-11-28,El_Salvador-Usulutan,0
2015-11-28,Mexico-Aguascalientes,0
2015-11-28,Mexico-Baja_California,0
2015-11-28,Mexico-Baja_California_Sur,0
2015-11-28,Mexico-Campeche,0
2015-11-28,Mexico-Chiapas,1
2015-11-28,Mexico-Chihuahua,0
2015-11-28,Mexico-Coahuila_de_Zaragoza,0
2015-11-28,Mexico-Colima,0
2015-11-28,Mexico-Distrito_Federal,0
2015-11-28,Mexico-Durango,0
2015-11-28,Mexico-Guanajuato,0
2015-11-28,Mexico-Guerrero,0
2015-11-28,Mexico-Hidalgo,0
2015-11-28,Mexico-Jalisco,0
2015-11-28,Mexico-Mexico,0
2015-11-28,Mexico-Michoacan_de_Ocampo,0
2015-11-28,Mexico-Morelos,0
2015-11-28,Mexico-Nayarit,0
2015-11-28,Mexico-Nuevo_Leon,1
2015-11-28,Mexico-Oaxaca,0
2015-11-28,Mexico-Puebla,0
2015-11-28,Mexico-Queretaro_de_Arteaga,0
2015-11-28,Mexico-Quintana_Roo,0
2015-11-28,Mexico-San_Luis_Potosi,0
2015-11-28,Mexico-Sinaloa,0
2015-11-28,Mexico-Sonora,0
2015-11-28,Mexico-Tabasco,0
2015-11-28,Mexico-Tamaulipas,0
2015-11-28,Mexico-Tlaxcala,0
2015-11-28,Mexico-Veracruz_de_Ignacio_de_la_Llave,0
2015-11-28,Mexico-Yucatan,0
2015-11-28,Mexico-Zacatecas,0
2015-12-05,El_Salvador,0
2015-12-05,El_Salvador-Ahuachapan,0
2015-12-05,El_Salvador-Cabanas,0
2015-12-05,El_Salvador-Chalatenango,0
2015-12-05,El_Salvador-Cuscatlan,0
2015-12-05,El_Salvador-La_Libertad,0
2015-12-05,El_Salvador-La_Paz,0
2015-12-05,El_Salvador-La_Union,0
2015-12-05,El_Salvador-Morazan,0
2015-12-05,El_Salvador-San_Miguel,0
2015-12-05,El_Salvador-San_Salvador,0
2015-12-05,El_Salvador-San_Vicente,0
