report_date,location,zika_confirmed,lat,long
4/2/16,Norte,0,19.5687715,-72.189
4/23/16,Norte,0,19.5687715,-72.189
4/30/16,Norte,0,19.5687715,-72.189
5/7/16,Norte,0,19.5687715,-72.189
5/14/16,Norte,0,19.5687715,-72.189
5/21/16,Norte,0,19.5687715,-72.189
5/28/16,Norte,0,19.5687715,-72.189
1/9/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
1/16/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
1/23/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
1/30/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
2/6/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
2/13/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
2/20/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
2/27/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
3/5/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
3/12/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
3/19/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
3/26/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
4/2/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
4/9/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
4/16/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
4/23/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
4/30/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
5/7/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
5/14/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
5/21/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
5/28/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
6/4/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
6/11/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
6/18/16,Colombia-San_Andres-Providencia,0,12.5567324,-81.7185253
6/25/16,Colombia-San_Andres-Providencia,1,12.5567324,-81.7185253
1/9/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
1/16/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
1/23/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
1/30/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
2/6/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
2/13/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
2/20/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
2/27/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
3/5/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
3/12/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
3/19/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
3/26/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
4/2/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
4/9/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
4/16/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
4/23/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
4/30/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
5/7/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
5/14/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
5/21/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
5/28/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
6/4/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
6/11/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
6/18/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
6/25/16,Colombia-San_Andres-San_Andres,1,12.5450153,-81.7075787
1/9/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
1/16/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
1/23/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
1/30/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
2/6/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
2/13/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
2/20/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
2/27/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
3/5/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
3/12/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
3/19/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
3/26/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
4/2/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
4/9/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
4/16/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
4/23/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
4/30/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
5/7/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
5/14/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
5/21/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
5/28/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
6/4/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
6/11/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
6/18/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
6/25/16,Colombia-Guajira-Manaure,1,11.772778,-72.444227
1/9/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
1/16/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
1/23/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
1/30/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
2/6/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
2/13/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
2/20/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
2/27/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
3/5/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
3/12/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
3/19/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
3/26/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
4/2/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
4/9/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
4/16/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
4/23/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
4/30/16,Colombia-Guajira-Uribia,0,11.7149978,-72.2659391
5/7/16,Colombia-Guajira-Uribia,1,11.7149978,-72.2659391
5/14/16,Colombia-Guajira-Uribia,1,11.7149978,-72.2659391
5/21/16,Colombia-Guajira-Uribia,1,11.7149978,-72.2659391
5/28/16,Colombia-Guajira-Uribia,1,11.7149978,-72.2659391
6/4/16,Colombia-Guajira-Uribia,1,11.7149978,-72.2659391
6/11/16,Colombia-Guajira-Uribia,1,11.7149978,-72.2659391
6/18/16,Colombia-Guajira-Uribia,1,11.7149978,-72.2659391
6/25/16,Colombia-Guajira-Uribia,1,11.7149978,-72.2659391
1/9/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
1/16/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
1/23/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
1/30/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
2/6/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
2/13/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
2/20/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
2/27/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
3/5/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
3/12/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
3/19/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
3/26/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
4/2/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
4/9/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
4/16/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
4/23/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
4/30/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
5/7/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
5/14/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
5/21/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
5/28/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
6/4/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
6/11/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
6/18/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
6/25/16,Colombia-Guajira-Riohacha,1,11.5384151,-72.9167838
1/9/16,Colombia-Guajira-Maicao,0,11.3789335,-72.2485171
1/16/16,Colombia-Guajira-Maicao,0,11.3789335,-72.2485171
1/23/16,Colombia-Guajira-Maicao,0,11.3789335,-72.2485171
1/30/16,Colombia-Guajira-Maicao,0,11.3789335,-72.2485171
2/6/16,Colombia-Guajira-Maicao,0,11.3789335,-72.2485171
2/13/16,Colombia-Guajira-Maicao,0,11.3789335,-72.2485171
